IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.18,,,,,,73.2,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,GRC,Greece,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.27,,,,,,74.3,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,ROU,Romania,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.27,,,,,,74.3,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.41,,,,,,74.4,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,NOR,Norway,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.36,,,,,,74.4,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.58,,,,,,74.6,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,DZA,Algeria,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.12,,,,,,75.1,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.62,,,,,,75.6,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.84,,,,,,75.8,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.07,,,,,,77.1,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.29,,,,,,77.3,,,EN,2023-04-20T04:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2019,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.37,,,,,,77.4,,,EN,2023-04-20T04:00:00.000Z
